Start,End,dropCoeff,minForced,maxForced,Fan,heatFlow
Air treatment system,Tower top,1,0,100,FALSE,0
Tower top,Tower leakage exterior,2,0,100,FALSE,0
Tower top,Converter inlet,0,2,2,TRUE,0
Tower top,Transformer inlet,0,2,2,TRUE,0
Tower top,Switchgear inlet,0,2,2,TRUE,0
Converter inlet,Converter platform,1,0,100,FALSE,0
Transformer inlet,Transformer platform,1,0,100,FALSE,0
Switchgear inlet,Switchgear platform,1,0,100,FALSE,0
Converter platform,Transformer platform,1,0,100,FALSE,0
Transformer platform,Switchgear platform,1,0,100,FALSE,0
Switchgear platform,Tower middle,1,0,100,FALSE,0
Tower middle,Tower top,1,0,100,FALSE,0
