Start                   End                     dropCoeff   fan     heatFlow    forced
Air_treatment_system    Tower_top               1           FALSE   0           0
Converter_inlet         Converter_platform      1           FALSE   0           0
Converter_platform      Tower_middle            1           FALSE   0           0
Switchgear_inlet        Switchgear_platform     1           FALSE   0           0
Switchgear_platform     Transformer_platform    1           FALSE   0           0
Tower_middle            Tower_top               1           FALSE   0           0
Tower_top               Converter_inlet         0           TRUE    0           1.72
Tower_top               Switchgear_inlet        0           TRUE    0           1.72
Tower_top               Tower_leakage_exterior  500         FALSE   0           0
Tower_top               Transformer_inlet       0           TRUE    0           1.39
Transformer_inlet       Transformer_platform    1           FALSE   0           0
Transformer_platform    Converter_platform      1           FALSE   0           0
Tower_top               Nacelle_bottom_front    1           FALSE   0           0
Nacelle_bottom_rear     Nacelle_bottom_front    1           FALSE   0           0
Nacelle_bottom_front    Nacelle_top_front       1           FALSE   0           0
Nacelle_top_front       Nacelle_top_rear        1           FALSE   0           0
Nacelle_top_rear        Nacelle_bottom_rear     1           TRUE    0           9.81
Nacelle_bottom_rear     Nacelle_top_rear        1           FALSE   0           0
Nacelle_top_front       Hub                     100         FALSE   0           0
Nacelle_bottom_front    Hub                     100         FALSE   0           0
Hub                     Hub_leakage_exterior    200         FALSE  0           0
